Index_number, Datetime, Solar_zenith, Solar_azimuth, Normalized_rms, Data_quality_flag, NO2_total_vertical_column, Uncertainty_NO2_vertical_column, Direct_sun_air_mass_factor
1,7883.0001,75.37,282.64,0.0008379,10,0.00010127,2.9455e-06,3.794
2,7883.0013,75.74,282.84,0.0008373,10,0.00010555,2.8419e-06,3.888
3,7883.0025,76.11,283.03,0.0008651,10,0.00010324,2.7826e-06,3.977
4,7883.0037,76.48,283.23,0.0008348,10,0.00010174,2.7299e-06,4.071
5,7883.005,76.85,283.42,0.0008758,10,0.00010538,2.6402e-06,4.179
6,7883.0062,77.22,283.62,0.0008446,10,0.00010617,2.557e-06,4.287
7,7883.0074,77.6,283.82,0.0008631,10,0.00010823,2.4728e-06,4.407
8,7883.0086,77.97,284.02,0.001075,12,0.00010027,2.4363e-06,4.507
9,7883.0098,78.34,284.22,0.0008759,10,0.00010697,2.3401e-06,4.648
10,7883.0111,78.71,284.41,0.0008827,10,0.00010902,2.2578e-06,4.785
11,7883.0123,79.08,284.61,0.0008995,10,0.00010856,2.1885e-06,4.923
12,7883.0135,79.45,284.81,0.0009375,10,0.00011619,2.094e-06,5.092
13,7883.0148,79.83,285.02,0.003763,12,8.9571e-05,2.1479e-06,5.156
14,7883.0166,80.38,285.32,0.001182,12,0.00011968,2.5327e-06,5.52
15,7883.0172,80.56,285.41,0.001986,12,0.00011491,3.3424e-06,5.593
16,7883.0177,80.73,285.51,0.003021,12,0.00012924,5.0502e-06,5.726
17,7883.0343,85.68,288.28,0.009285,12,0.00014327,3.8881e-06,10.411
18,7883.0368,86.41,288.7,0.007569,12,0.00013301,2.7459e-06,11.555
19,7883.049,90.01,290.84,0.04144,12,0.00011874,8.9874e-06,24.449
20,7883.0496,90.18,290.95,0.04621,12,0.00011344,8.6467e-06,23.916
21,7883.4983,87.5,70.8,0.03557,12,0.0001303,3.8212e-06,15.83
22,7883.4989,87.31,70.91,0.3533,12,0.00017077,5.9283e-06,15.936
23,7883.4995,87.13,71.01,0.03721,12,0.00013333,3.3118e-06,14.578
24,7883.5001,86.96,71.12,0.0364,12,0.00014068,3.1642e-06,14.18
25,7883.5007,86.79,71.22,0.03569,12,0.00015553,3.1528e-06,13.889
26,7883.5013,86.62,71.31,0.03494,12,0.00016275,3.0365e-06,13.475
27,7883.5018,86.45,71.41,0.03307,12,0.00016993,2.9778e-06,13.074
28,7883.5024,86.29,71.51,0.03108,12,0.00017454,2.8764e-06,12.692
29,7883.503,86.12,71.6,0.02987,12,0.00015538,2.5513e-06,12.091
30,7883.5035,85.96,71.7,2.15,12,0.0029454,0.00011199,13.142
31,7883.5054,85.4,72.02,2.578,12,-0.0076372,4.3887e-06,7.874
32,7883.5059,85.23,72.12,0.01591,12,0.00010885,1.6582e-06,9.85
33,7883.5065,85.07,72.21,2.51,12,0.0021295,0.0001639,10.991
34,7883.507,84.91,72.3,0.01196,12,9.5006e-05,1.5107e-06,9.191
35,7883.5076,84.75,72.39,0.01013,12,8.9825e-05,1.4413e-06,8.904
36,7883.5081,84.59,72.48,0.009135,12,8.8891e-05,1.4179e-06,8.699
37,7883.5086,84.43,72.57,0.00821,12,8.9118e-05,1.4306e-06,8.522
38,7883.5092,84.27,72.66,1.577,12,-0.0019098,4.3901e-06,7.132
39,7883.5097,84.11,72.76,0.005898,12,8.2762e-05,2.1285e-06,8.089
40,7883.5102,83.96,72.84,0.005553,12,7.583e-05,3.2721e-06,7.83
41,7883.5107,83.83,72.92,0.005756,12,7.6779e-05,1.8074e-06,7.729
42,7883.5112,83.68,73,0.005536,12,8.4018e-05,1.5599e-06,7.7
43,7883.5117,83.51,73.09,0.004525,12,7.9656e-05,2.1322e-06,7.492
44,7883.5123,83.34,73.19,0.00448,12,9.6575e-05,4.1756e-06,7.53
45,7883.5174,81.81,74.05,0.003011,12,8.7387e-05,4.3685e-06,6.321
46,7883.518,81.64,74.14,0.003197,12,8.503e-05,4.239e-06,6.201
47,7883.5185,81.47,74.23,0.002177,12,8.0598e-05,2.8851e-06,6.072
48,7883.5191,81.3,74.33,0.002177,12,8.3295e-05,3.103e-06,5.992
49,7883.5197,81.13,74.42,0.00217,12,7.3547e-05,2.8887e-06,5.834
50,7883.5202,80.96,74.51,0.001547,12,7.9343e-05,2.406e-06,5.783
51,7883.5208,80.8,74.6,0.002328,12,8.8686e-05,2.1008e-06,5.748
52,7883.5213,80.63,74.69,0.001869,12,8.2186e-05,2.1713e-06,5.628
53,7883.5218,80.47,74.78,0.002096,12,7.2259e-05,2.4411e-06,5.494
54,7883.5223,80.32,74.86,0.001672,12,7.5375e-05,2.7213e-06,5.441
55,7883.5228,80.17,74.94,0.001386,12,8.1574e-05,2.1625e-06,5.403
56,7883.5234,80.01,75.03,0.001384,11,8.0082e-05,2.2212e-06,5.323
57,7883.5239,79.85,75.12,0.00145,11,8.2973e-05,2.2546e-06,5.263
58,7883.5245,79.68,75.21,0.001357,12,7.9888e-05,2.3104e-06,5.176
59,7883.5263,79.13,75.51,0.001021,12,8.512e-05,2.2476e-06,4.967
60,7883.5277,78.71,75.74,0.001218,12,0.00010543,2.2531e-06,4.853
61,7883.5289,78.32,75.94,0.001051,11,7.2231e-05,2.3775e-06,4.623
62,7883.5302,77.94,76.15,0.00113,12,7.7312e-05,2.4251e-06,4.512
63,7883.5315,77.56,76.35,0.001004,12,7.4058e-05,2.5745e-06,4.382
64,7883.5327,77.19,76.55,0.0009318,10,6.8598e-05,2.6164e-06,4.254
65,7883.5339,76.81,76.75,0.0009184,10,6.9241e-05,2.6791e-06,4.148
66,7883.5352,76.44,76.95,0.0009172,10,7.0528e-05,2.7468e-06,4.052
67,7883.5364,76.06,77.15,0.0008844,10,6.9573e-05,2.827e-06,3.951
68,7883.5376,75.69,77.35,0.0009925,12,6.9094e-05,2.9352e-06,3.859
69,7883.5389,75.31,77.55,0.001199,12,7.107e-05,3.1006e-06,3.774
70,7883.5399,74.98,77.72,0.0009424,12,6.6304e-05,3.1384e-06,3.69
71,7883.5411,74.61,77.92,0.001057,12,5.5896e-05,3.444e-06,3.586
72,7883.5423,74.25,78.11,0.000814,12,6.0204e-05,3.3819e-06,3.524
73,7883.5435,73.88,78.3,0.0008168,10,5.6457e-05,3.5783e-06,3.443
74,7883.5448,73.5,78.5,0.0009742,11,6.1508e-05,3.5329e-06,3.384
75,7883.546,73.13,78.69,0.002892,12,3.087e-05,5.6743e-06,3.275
76,7883.5472,72.76,78.88,0.0008293,12,5.5772e-05,3.8599e-06,3.242
77,7883.5498,71.96,79.3,0.0003517,10,6.7934e-05,3.6761e-06,3.132
78,7883.551,71.58,79.5,0.0008247,10,5.2173e-05,4.2778e-06,3.049
79,7883.5522,71.2,79.7,0.0007968,10,4.9069e-05,4.5675e-06,2.988
80,7883.5535,70.83,79.89,0.0008056,11,5.1197e-05,4.5127e-06,2.941
81,7883.5547,70.45,80.08,0.0008238,12,5.1601e-05,4.601e-06,2.891
82,7883.5559,70.08,80.28,0.000791,10,4.7004e-05,4.979e-06,2.835
83,7883.5571,69.7,80.47,0.0007881,10,4.7518e-05,5.0253e-06,2.788
84,7883.5583,69.33,80.67,0.0007996,10,4.9653e-05,4.9487e-06,2.747
85,7883.5596,68.95,80.86,0.0007957,10,4.5724e-05,5.364e-06,2.697
86,7883.5608,68.58,81.06,0.0008021,10,5.0241e-05,5.0828e-06,2.662
87,7883.562,68.2,81.25,0.0007975,10,4.7062e-05,5.4261e-06,2.616
88,7883.5632,67.82,81.45,0.000827,10,4.4055e-05,5.8477e-06,2.574
89,7883.5644,67.45,81.64,0.0007978,10,4.617e-05,5.689e-06,2.537
90,7883.5656,67.07,81.83,0.001078,11,5.9777e-05,4.9573e-06,2.514
91,7883.5669,66.69,82.03,0.003341,12,1.1633e-05,1.2071e-05,2.463
92,7883.5681,66.32,82.22,0.001057,12,5.5129e-05,5.3716e-06,2.438
93,7883.5693,65.94,82.42,0.0007819,12,4.5891e-05,6.0918e-06,2.395
94,7883.5705,65.56,82.62,0.0008079,12,4.6771e-05,6.1015e-06,2.363
95,7883.5731,64.75,83.04,0.0002421,10,7.0243e-05,5.0024e-06,2.31
96,7883.5744,64.36,83.24,0.0008309,10,4.6802e-05,6.3793e-06,2.264
97,7883.5756,63.98,83.44,0.0007999,10,4.2933e-05,6.9744e-06,2.234
98,7883.5768,63.6,83.63,0.0008213,12,4.8742e-05,6.3116e-06,2.208
99,7883.578,63.23,83.83,0.0007887,12,4.4979e-05,6.895e-06,2.179
100,7883.5793,62.85,84.02,0.0007722,12,5.4672e-05,6.0137e-06,2.157
101,7883.5805,62.48,84.22,0.0009058,12,7.2793e-05,5.3383e-06,2.139
102,7883.5817,62.1,84.42,0.002219,12,3.1344e-05,8.9105e-06,2.101
103,7883.5829,61.72,84.62,0.001343,12,6.9508e-05,5.6907e-06,2.086
104,7883.5841,61.35,84.81,0.001342,12,8.2074e-05,5.1923e-06,2.066
105,7883.5853,60.98,85,0.0007903,12,8.6667e-05,5.3061e-06,2.043
106,7883.5865,60.61,85.2,0.0007951,12,9.0005e-05,5.3469e-06,2.02
107,7883.5877,60.23,85.4,0.00079,10,0.00010709,5.3902e-06,2
108,7883.5889,59.85,85.6,0.0007856,10,9.1143e-05,5.4616e-06,1.975
109,7883.5901,59.47,85.8,0.0007929,10,0.00010797,5.5121e-06,1.955
110,7883.5913,59.09,86,0.0008173,11,9.6145e-05,5.5766e-06,1.933
111,7883.5925,58.71,86.2,0.0008316,10,0.00010802,5.632e-06,1.913
112,7883.5938,58.33,86.4,0.0007847,10,9.4368e-05,5.695e-06,1.892
113,7883.5964,57.52,86.84,0.0002157,12,0.00011291,5.8527e-06,1.852
114,7883.5976,57.13,87.05,0.0007873,12,0.00013002,5.984e-06,1.834
115,7883.5988,56.75,87.25,0.0007925,12,0.00015994,6.2553e-06,1.817
116,7883.6,56.37,87.46,0.0007897,12,0.00014277,6.1912e-06,1.798
117,7883.6013,55.99,87.67,0.000937,10,0.0001309,6.1478e-06,1.78
118,7883.6025,55.61,87.87,0.0008294,10,0.00014742,6.3371e-06,1.764
119,7883.6037,55.23,88.08,0.0007904,10,0.00011428,6.1848e-06,1.745
120,7883.6049,54.85,88.29,0.0007912,12,0.00011168,6.2301e-06,1.729
121,7883.606,54.5,88.48,0.001592,12,8.649e-05,1.0765e-05,1.712
122,7883.6068,54.25,88.62,0.0007839,12,9.4103e-05,6.3157e-06,1.703
123,7883.6081,53.87,88.84,0.0007844,12,6.96e-05,6.856e-06,1.685
124,7883.6093,53.49,89.05,0.0007851,10,6.2258e-05,7.2917e-06,1.669
125,7883.6105,53.11,89.26,0.0008003,12,6.3597e-05,7.2763e-06,1.655
126,7883.6117,52.72,89.48,0.0007912,12,5.7612e-05,7.7939e-06,1.639
127,7883.6125,52.48,89.62,0.0008561,12,3.8811e-05,1.1538e-05,1.629
128,7883.6136,52.13,89.81,0.000795,11,3.6681e-05,1.1736e-05,1.616
129,7883.6148,51.75,90.03,0.0007743,12,3.5962e-05,1.1949e-05,1.603
130,7883.6161,51.37,90.25,0.0008116,12,3.5333e-05,1.2256e-05,1.59
131,7883.6195,50.3,90.87,0.0002383,10,5.9426e-05,8.2183e-06,1.557
132,7883.6207,49.91,91.1,0.0007954,12,3.6096e-05,1.2335e-05,1.542
133,7883.6219,49.53,91.32,0.0007876,12,3.439e-05,1.3101e-05,1.531
134,7883.6231,49.15,91.55,0.0007925,12,3.6168e-05,1.2532e-05,1.519
135,7883.6241,48.86,91.72,0.0007956,10,3.0356e-05,1.4817e-05,1.51
136,7883.6253,48.49,91.95,0.0007953,10,3.4389e-05,1.341e-05,1.5
137,7883.6265,48.12,92.17,0.0007931,12,3.7599e-05,1.2575e-05,1.489
138,7883.6275,47.78,92.37,0.0008028,12,3.4467e-05,1.3971e-05,1.479
139,7883.6285,47.47,92.56,0.001076,12,2.7924e-05,2.0604e-05,1.471
140,7883.6294,47.2,92.73,0.001956,12,3.7999e-05,2.7266e-05,1.464
141,7883.6305,46.84,92.95,0.0008082,12,2.7901e-05,1.7054e-05,1.454
142,7883.6314,46.58,93.12,0.0008678,12,2.3069e-05,2.0822e-05,1.447
143,7883.6323,46.3,93.29,0.0007916,12,2.3472e-05,2.0001e-05,1.44
144,7883.6335,45.92,93.53,0.0007938,10,2.3641e-05,1.9979e-05,1.43
145,7883.6347,45.54,93.77,0.0008215,10,2.1335e-05,2.2196e-05,1.421
146,7883.6359,45.16,94.01,0.0007986,10,2.316e-05,2.0651e-05,1.411
147,7883.6371,44.78,94.26,0.0008032,10,2.2331e-05,2.1384e-05,1.402
148,7883.6384,44.4,94.51,0.0008381,10,2.4185e-05,2.0073e-05,1.393
149,7883.641,43.59,95.04,0.0002099,10,5.0994e-05,1.0482e-05,1.375
150,7883.6422,43.21,95.3,0.000789,12,2.6437e-05,1.8862e-05,1.366
151,7883.6434,42.84,95.55,0.0007934,10,2.5001e-05,2.0169e-05,1.358
152,7883.6446,42.46,95.8,0.0007884,12,2.5682e-05,1.9726e-05,1.35
153,7883.6458,42.08,96.07,0.0007956,10,2.3759e-05,2.1407e-05,1.342
154,7883.647,41.71,96.33,0.0008395,10,2.2177e-05,2.2972e-05,1.334
155,7883.6483,41.33,96.6,0.0008373,10,2.2041e-05,2.3392e-05,1.327
156,7883.6495,40.95,96.86,0.0008285,12,2.3987e-05,2.1501e-05,1.319
157,7883.6507,40.55,97.15,0.001748,12,3.6086e-05,2.7418e-05,1.311
158,7883.6516,40.29,97.34,0.000828,12,2.4608e-05,2.175e-05,1.306
159,7883.6528,39.93,97.6,0.0008105,12,1.9336e-05,2.6835e-05,1.3
160,7883.654,39.55,97.88,0.0007904,12,2.1026e-05,2.4926e-05,1.293
161,7883.6552,39.18,98.17,0.0008403,12,1.8417e-05,2.8484e-05,1.286
162,7883.6564,38.79,98.46,0.0007968,10,1.6684e-05,3.0671e-05,1.279
163,7883.6576,38.42,98.75,0.0007906,10,1.7414e-05,2.9731e-05,1.272
164,7883.6589,38.04,99.04,0.0007948,10,1.6349e-05,3.1544e-05,1.266
165,7883.6601,37.66,99.34,0.0008016,10,1.519e-05,3.3796e-05,1.26
166,7883.6613,37.28,99.64,0.0008104,10,1.7786e-05,2.9709e-05,1.253
167,7883.664,36.47,100.3,0.0002265,10,5.0978e-05,1.1783e-05,1.24
168,7883.6652,36.08,100.62,0.0007998,10,2.1774e-05,2.5326e-05,1.234
169,7883.6664,35.73,100.92,0.0008966,12,1.331e-05,3.4724e-05,1.229
170,7883.6675,35.39,101.22,0.00189,12,2.7134e-05,4.4676e-05,1.224
171,7883.6686,35.03,101.53,0.0007898,10,2.0503e-05,2.748e-05,1.218
172,7883.6699,34.65,101.86,0.0008346,10,2.2472e-05,2.5131e-05,1.213
173,7883.6711,34.28,102.19,0.0007962,10,2.1384e-05,2.6412e-05,1.208
174,7883.6723,33.9,102.54,0.0008052,10,2.1187e-05,2.6912e-05,1.202
175,7883.6736,33.53,102.88,0.0008011,10,1.9481e-05,2.8865e-05,1.197
176,7883.6748,33.16,103.23,0.0007988,12,2.253e-05,2.5483e-05,1.192
177,7883.676,32.78,103.59,0.0007942,12,2.4705e-05,2.366e-05,1.187
178,7883.6773,32.41,103.96,0.0007953,12,3.3216e-05,1.9069e-05,1.182
179,7883.6782,32.13,104.23,0.0007905,12,2.4438e-05,2.4173e-05,1.179
180,7883.6791,31.86,104.5,0.0007911,12,2.5526e-05,2.3342e-05,1.175
181,7883.6803,31.48,104.89,0.001375,12,3.8795e-05,2.4332e-05,1.17
182,7883.6809,31.31,105.06,0.001775,12,7.5837e-05,1.8077e-05,1.169
183,7883.6814,31.15,105.23,0.001849,12,8.6483e-05,1.9771e-05,1.167
184,7883.682,30.98,105.41,0.002043,12,5.6376e-05,2.4254e-05,1.165
185,7883.6834,30.55,105.87,0.001859,12,0.00010431,1.8241e-05,1.16
186,7883.6839,30.39,106.04,0.002097,12,2.3913e-05,5.922e-05,1.157
187,7883.6851,30.05,106.41,0.002211,12,2.1543e-05,7.2905e-05,1.153
188,7883.6856,29.9,106.58,0.001436,12,3.1935e-05,2.9893e-05,1.152
189,7883.6861,29.73,106.76,0.001512,12,4.1031e-05,2.6481e-05,1.15
190,7883.687,29.46,107.07,0.0008072,12,2.5898e-05,2.3771e-05,1.147
191,7883.6883,29.1,107.49,0.0008042,10,2.6152e-05,2.3596e-05,1.143
192,7883.6895,28.73,107.92,0.0007982,10,2.5238e-05,2.4479e-05,1.139
193,7883.6907,28.37,108.36,0.0007851,12,2.183e-05,2.7842e-05,1.135
194,7883.6919,28.01,108.81,0.0007916,10,2.1294e-05,2.8789e-05,1.131
195,7883.6932,27.64,109.26,0.0007743,12,2.6758e-05,2.3898e-05,1.127
196,7883.6937,27.48,109.48,0.001683,12,6.0841e-05,2.0242e-05,1.126
197,7883.6943,27.31,109.69,0.002053,12,3.7051e-05,3.7596e-05,1.124
198,7883.6949,27.14,109.92,0.002003,12,7.7453e-05,2.0522e-05,1.123
199,7883.6955,26.95,110.16,0.002242,12,7.3867e-05,2.2228e-05,1.121
200,7883.6961,26.77,110.41,0.00282,12,3.2684e-05,4.8352e-05,1.119
201,7883.6968,26.58,110.66,0.002735,12,9.4301e-05,2.2715e-05,1.117
202,7883.6982,26.17,111.23,0.002217,12,9.5117e-05,2.1287e-05,1.113
203,7883.6988,26,111.48,0.002143,12,3.8061e-05,3.5769e-05,1.111
204,7883.6994,25.82,111.73,0.001681,12,3.5933e-05,3.5326e-05,1.11
205,7883.7,25.65,111.98,0.001714,12,1.6171e-05,6.6946e-05,1.108
206,7883.7006,25.48,112.22,0.001672,12,2.9282e-05,3.844e-05,1.107
207,7883.7016,25.18,112.68,0.00109,12,3.0629e-05,2.6945e-05,1.104
208,7883.7021,25.04,112.89,0.001619,12,2.5773e-05,4.5302e-05,1.103
209,7883.7029,24.8,113.25,0.000954,12,1.4417e-05,4.0666e-05,1.1
210,7883.704,24.48,113.76,0.0007909,12,1.8766e-05,3.2481e-05,1.098
211,7883.7052,24.16,114.28,0.0009316,12,8.9469e-06,4.5381e-05,1.095
212,7883.7063,23.84,114.8,0.000774,12,2.1093e-05,3.0512e-05,1.092
213,7883.7075,23.5,115.39,0.0007839,10,2.2203e-05,2.9248e-05,1.089
214,7883.7087,23.15,115.99,0.0007668,10,2.1591e-05,2.982e-05,1.087
215,7883.7099,22.81,116.61,0.0007937,10,1.9274e-05,3.2471e-05,1.084
216,7883.7112,22.47,117.25,0.0007846,11,1.6581e-05,3.7909e-05,1.081
217,7883.7124,22.13,117.9,0.0007845,10,1.8326e-05,3.4634e-05,1.079
218,7883.7136,21.8,118.56,0.0007799,10,1.5664e-05,3.9974e-05,1.076
219,7883.7148,21.46,119.24,0.0007788,10,1.5318e-05,4.072e-05,1.074
220,7883.7175,20.75,120.78,0.0002307,10,5.0795e-05,1.4205e-05,1.069
221,7883.7187,20.41,121.55,0.0007952,10,1.8202e-05,3.505e-05,1.066
222,7883.7199,20.09,122.32,0.0008059,12,1.9571e-05,3.3643e-05,1.064
223,7883.7212,19.77,123.11,0.0008182,10,2.1502e-05,3.1113e-05,1.062
224,7883.7224,19.45,123.92,0.0007953,10,1.8538e-05,3.4846e-05,1.06
225,7883.7236,19.13,124.75,0.0008105,12,1.6689e-05,3.731e-05,1.058
226,7883.7248,18.82,125.62,0.0007895,12,1.8606e-05,3.5902e-05,1.056
227,7883.726,18.51,126.5,0.000804,10,2.0702e-05,3.2638e-05,1.054
228,7883.7273,18.2,127.44,0.0007219,10,2.3076e-05,2.9801e-05,1.052
229,7883.7285,17.9,128.37,0.0007251,12,2.4688e-05,2.8191e-05,1.05
230,7883.7297,17.62,129.28,0.001227,12,4.6044e-05,2.207e-05,1.049
231,7883.7307,17.38,130.1,0.001131,12,4.3789e-05,1.8906e-05,1.047
232,7883.7318,17.11,131.03,0.0007324,10,2.2998e-05,3.0156e-05,1.046
233,7883.733,16.82,132.09,0.0007349,12,2.2464e-05,3.0632e-05,1.044
234,7883.7343,16.54,133.17,0.0007094,12,2.6464e-05,2.6345e-05,1.043
235,7883.7355,16.26,134.31,0.0007297,11,2.4465e-05,2.8569e-05,1.041
236,7883.7367,15.99,135.46,0.0007356,10,2.2555e-05,3.0693e-05,1.04
237,7883.7379,15.72,136.66,0.0007315,10,1.8679e-05,3.6573e-05,1.038
238,7883.7407,15.15,139.45,0.0005949,10,4.7067e-05,1.6251e-05,1.036
239,7883.7419,14.9,140.8,0.0007038,10,1.5805e-05,4.3429e-05,1.034
240,7883.7432,14.66,142.16,0.0007078,10,1.852e-05,3.7684e-05,1.033
241,7883.7444,14.43,143.56,0.0007074,10,1.9866e-05,3.5123e-05,1.032
242,7883.7456,14.21,145,0.0007118,10,1.7812e-05,3.9314e-05,1.031
243,7883.7469,13.99,146.48,0.0007056,10,1.7658e-05,4.0282e-05,1.03
244,7883.7481,13.78,148,0.0007033,10,2.1819e-05,3.2807e-05,1.029
245,7883.7493,13.59,149.56,0.000702,10,2.072e-05,3.4668e-05,1.029
246,7883.7505,13.4,151.18,0.0007048,10,2.3145e-05,3.1716e-05,1.028
247,7883.7518,13.22,152.83,0.0007092,12,2.4691e-05,2.9606e-05,1.027
248,7883.7529,13.06,154.4,0.0007609,12,1.92e-05,3.6846e-05,1.026
249,7883.754,12.92,155.89,0.001012,12,4.1507e-05,2.2512e-05,1.026
250,7883.7552,12.77,157.63,0.001923,12,6.644e-05,2.3624e-05,1.025
251,7883.7558,12.7,158.5,0.001876,12,3.6697e-05,4.4081e-05,1.025
252,7883.7563,12.64,159.35,0.001536,12,4.5055e-05,2.8949e-05,1.025
253,7883.7569,12.57,160.22,0.002033,12,7.4952e-05,2.2975e-05,1.024
254,7883.7575,12.51,161.09,0.001929,12,8.0673e-05,2.3731e-05,1.024
255,7883.7581,12.46,161.97,0.00184,12,4.7106e-05,3.1757e-05,1.024
256,7883.7594,12.34,164.01,0.0005951,12,5.6946e-05,1.4307e-05,1.023
257,7883.7606,12.24,165.84,0.0007732,12,2.904e-05,2.469e-05,1.023
258,7883.7615,12.18,167.25,0.000766,12,3.029e-05,2.4447e-05,1.023
259,7883.7624,12.12,168.71,0.0007553,12,2.8296e-05,2.6992e-05,1.023
260,7883.7636,12.05,170.68,0.0007496,10,2.7522e-05,2.7213e-05,1.022
261,7883.7648,11.99,172.68,0.0007562,10,2.7033e-05,2.7668e-05,1.022
262,7883.766,11.95,174.56,0.0007484,12,2.66e-05,2.9046e-05,1.022
263,7883.7671,11.93,176.45,0.0007102,10,2.2495e-05,3.2783e-05,1.022
264,7883.7683,11.91,178.48,0.000723,10,2.2628e-05,3.2802e-05,1.022
265,7883.7696,11.91,180.57,0.0007084,10,2.3429e-05,3.1846e-05,1.022
266,7883.7708,11.92,182.6,0.0007192,10,2.3271e-05,3.1755e-05,1.022
267,7883.772,11.94,184.63,0.0007141,10,1.7628e-05,4.1125e-05,1.022
268,7883.7733,11.98,186.65,0.000719,10,1.8178e-05,3.9956e-05,1.022
269,7883.7745,12.03,188.66,0.0007204,10,2.0693e-05,3.5934e-05,1.022
270,7883.7757,12.1,190.65,0.0007114,10,2.0759e-05,3.5334e-05,1.022
271,7883.7769,12.17,192.61,0.0007158,10,1.7042e-05,4.2154e-05,1.023
272,7883.7782,12.26,194.55,0.0007251,10,1.6352e-05,4.3939e-05,1.023
273,7883.7794,12.37,196.46,0.0007126,10,1.4916e-05,4.7802e-05,1.024
274,7883.7821,12.64,200.62,0.0005668,10,4.8283e-05,1.6504e-05,1.025
275,7883.7834,12.79,202.47,0.0006966,10,1.6937e-05,4.2543e-05,1.025
276,7883.7846,12.94,204.22,0.0007016,10,1.6068e-05,4.4025e-05,1.026
277,7883.7858,13.1,205.94,0.0006986,10,1.6766e-05,4.3187e-05,1.026
278,7883.7871,13.27,207.62,0.0007057,10,1.511e-05,4.7322e-05,1.027
279,7883.7883,13.46,209.26,0.0007035,12,1.973e-05,3.7202e-05,1.028
280,7883.7895,13.65,210.86,0.0007027,12,2.2606e-05,3.3682e-05,1.029
281,7883.7908,13.86,212.47,0.001708,12,1.4051e-05,8.6226e-05,1.03
282,7883.7913,13.94,213.03,0.003025,12,3.8186e-06,0.00046899,1.03
283,7883.7924,14.14,214.47,0.001516,11,2.3066e-05,5.3203e-05,1.031
284,7883.793,14.25,215.18,0.001948,12,5.9725e-05,2.6648e-05,1.031
285,7883.7936,14.36,215.9,0.001834,12,4.8978e-05,3.1101e-05,1.032
286,7883.7942,14.47,216.59,0.001662,12,5.7511e-05,2.4832e-05,1.032
287,7883.7948,14.57,217.23,0.001269,12,1.8822e-05,5.6542e-05,1.033
288,7883.7953,14.67,217.78,0.0025,12,1.1044e-05,0.00018138,1.033
289,7883.7966,14.92,219.21,0.001482,12,4.737e-05,2.767e-05,1.035
290,7883.7978,15.16,220.48,0.00083,12,2.8362e-05,2.9604e-05,1.036
291,7883.8004,15.7,223.15,0.0005328,12,6.3624e-05,1.3135e-05,1.038
292,7883.8016,15.98,224.38,0.00072,12,2.2748e-05,3.2425e-05,1.04
293,7883.8029,16.25,225.54,0.0007247,12,2.1925e-05,3.3924e-05,1.041
294,7883.8041,16.52,226.66,0.0007135,12,2.3189e-05,3.1864e-05,1.043
295,7883.8053,16.8,227.74,0.0007161,10,2.5085e-05,2.991e-05,1.044
296,7883.8065,17.09,228.8,0.0007239,12,2.5847e-05,2.9091e-05,1.046
297,7883.8077,17.37,229.78,0.0007308,12,2.2569e-05,3.3372e-05,1.047
298,7883.8088,17.62,230.65,0.0008173,12,2.9294e-05,2.808e-05,1.049
299,7883.8099,17.9,231.54,0.0007087,12,2.7175e-05,2.7309e-05,1.05
300,7883.8112,18.21,232.51,0.001732,12,4.4548e-05,3.4225e-05,1.052
301,7883.8117,18.35,232.94,0.002315,12,9.9091e-05,2.2831e-05,1.053
302,7883.8123,18.5,233.37,0.002348,12,8.3947e-05,2.6337e-05,1.054
303,7883.8172,19.76,236.77,0.002209,12,0.00010251,2.2534e-05,1.062
304,7883.8178,19.91,237.16,0.001749,12,6.1789e-05,2.4312e-05,1.063
305,7883.8184,20.07,237.55,0.001612,12,5.3069e-05,2.7025e-05,1.064
306,7883.819,20.22,237.91,0.001787,12,9.7088e-05,1.8627e-05,1.065
307,7883.8196,20.38,238.27,0.002118,12,5.8752e-05,3.0144e-05,1.066
308,7883.8202,20.54,238.65,0.002376,12,0.00012731,2.3237e-05,1.068
309,7883.8234,21.4,240.53,0.002281,12,6.6545e-05,2.7855e-05,1.073
310,7883.824,21.56,240.86,0.001939,12,8.093e-05,2.1667e-05,1.075
311,7883.8245,21.71,241.18,0.001975,12,5.1054e-05,2.983e-05,1.076
312,7883.8251,21.87,241.49,0.002988,12,5.8946e-05,2.8155e-05,1.077
313,7883.8257,22.03,241.81,0.001764,12,6.6325e-05,2.2767e-05,1.078
314,7883.8263,22.19,242.12,0.001388,12,5.339e-05,2.2485e-05,1.079
315,7883.8271,22.41,242.55,0.00126,12,1.8135e-05,4.1387e-05,1.081
316,7883.8281,22.7,243.08,0.0009681,12,3.175e-05,2.7502e-05,1.083
317,7883.8292,23,243.64,0.0007843,12,2.5506e-05,2.7982e-05,1.085
318,7883.8304,23.35,244.25,0.0007749,12,2.6215e-05,2.7405e-05,1.088
319,7883.8316,23.69,244.84,0.0007659,12,3.0606e-05,2.388e-05,1.091
320,7883.8322,23.85,245.11,0.002364,12,5.381e-05,2.4282e-05,1.092
321,7883.8336,24.25,245.78,0.002034,12,0.00013538,2.0085e-05,1.096
322,7883.8342,24.44,246.08,0.002075,12,0.00011073,2.0174e-05,1.098
323,7883.8349,24.62,246.36,0.002287,12,8.08e-05,2.3569e-05,1.099
324,7883.8355,24.8,246.64,0.002131,12,0.00010951,2.0081e-05,1.101
